NRO_REGISTRO,RUC,RAZON,DEPARTAMENTO,PROVINCIA,DISTRITO,DIRECCION,FCHA_REGISTRO,COD_PRODUCTO,PRODUCTO,PRECIO_VENTA,UNIDAD,CODIGO_OSINERG,ACTIVIDAD,COD_ACTIVIDAD,MARCA
178966-048-030226,20556119636,XACT PERU S.A.C.,AREQUIPA,ISLAY,MOLLENDO,CALLE APURIMAC S/N ZONA INDUSTRIAL INCLAN,2026-06-16 16:22:30,126,GASOHOL REGULAR,16.03,Galones,178966,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
178966-048-030226,20556119636,XACT PERU S.A.C.,AREQUIPA,ISLAY,MOLLENDO,CALLE APURIMAC S/N ZONA INDUSTRIAL INCLAN,2026-06-16 16:22:30,127,GASOHOL PREMIUM,16.69,Galones,178966,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
178966-048-030226,20556119636,XACT PERU S.A.C.,AREQUIPA,ISLAY,MOLLENDO,CALLE APURIMAC S/N ZONA INDUSTRIAL INCLAN,2026-06-16 16:22:30,40,Diesel B5 S-50 UV,18,Galones,178966,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
178966-048-030226,20556119636,XACT PERU S.A.C.,AREQUIPA,ISLAY,MOLLENDO,CALLE APURIMAC S/N ZONA INDUSTRIAL INCLAN,2026-06-16 16:22:30,45,Diesel B5 S-50,18.16,Galones,178966,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
179479-048-190925,20556119636,XACT PERU S.A.C.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,AV. NESTOR GAMBETTA N° 1265,2026-06-16 16:32:23,126,GASOHOL REGULAR,15.11,Galones,179479,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
179479-048-190925,20556119636,XACT PERU S.A.C.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,AV. NESTOR GAMBETTA N° 1265,2026-06-16 16:32:23,127,GASOHOL PREMIUM,16.04,Galones,179479,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
179479-048-190925,20556119636,XACT PERU S.A.C.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,AV. NESTOR GAMBETTA N° 1265,2026-06-16 16:32:23,40,Diesel B5 S-50 UV,16.93,Galones,179479,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
179479-048-190925,20556119636,XACT PERU S.A.C.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,AV. NESTOR GAMBETTA N° 1265,2026-06-16 16:32:23,45,Diesel B5 S-50,16.97,Galones,179479,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
181270-048-120226,20613460871,MEGA COMBUSTIBLES S.A.C.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,AV. NESTOR GAMBETTA N° 1265,2026-06-16 16:37:41,126,GASOHOL REGULAR,15.11,Galones,181270,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
181270-048-120226,20613460871,MEGA COMBUSTIBLES S.A.C.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,AV. NESTOR GAMBETTA N° 1265,2026-06-16 16:37:41,127,GASOHOL PREMIUM,16.04,Galones,181270,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
181270-048-120226,20613460871,MEGA COMBUSTIBLES S.A.C.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,AV. NESTOR GAMBETTA N° 1265,2026-06-16 16:37:41,40,Diesel B5 S-50 UV,16.93,Galones,181270,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
181270-048-120226,20613460871,MEGA COMBUSTIBLES S.A.C.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,AV. NESTOR GAMBETTA N° 1265,2026-06-16 16:37:41,45,Diesel B5 S-50,16.97,Galones,181270,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
182346-048-080426,20565643496,GLOBAL FUEL SOCIEDAD ANONIMA,ICA,PISCO,PARACAS,CARRETERA PISCO PARACAS KM.14.5,2026-08-04 00:35:44,40,Diesel B5 S-50 UV,23.5,Galones,182346,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
182346-048-080426,20565643496,GLOBAL FUEL SOCIEDAD ANONIMA,ICA,PISCO,PARACAS,CARRETERA PISCO PARACAS KM.14.5,2026-08-04 00:35:44,45,Diesel B5 S-50,25.07,Galones,182346,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
182508-048-140825,20613460871,MEGA COMBUSTIBLES S.A.C.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,"AV. NESTOR GAMBETTA KM. 11.5, LOTE B-2",2026-06-16 16:17:48,126,GASOHOL REGULAR,14.58,Galones,182508,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
182508-048-140825,20613460871,MEGA COMBUSTIBLES S.A.C.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,"AV. NESTOR GAMBETTA KM. 11.5, LOTE B-2",2026-06-16 16:17:48,127,GASOHOL PREMIUM,15.44,Galones,182508,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
182508-048-140825,20613460871,MEGA COMBUSTIBLES S.A.C.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,"AV. NESTOR GAMBETTA KM. 11.5, LOTE B-2",2026-06-16 16:17:48,40,Diesel B5 S-50 UV,16.68,Galones,182508,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
182508-048-140825,20613460871,MEGA COMBUSTIBLES S.A.C.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,"AV. NESTOR GAMBETTA KM. 11.5, LOTE B-2",2026-06-16 16:17:48,45,Diesel B5 S-50,16.68,Galones,182508,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
182596-048-260126,20613483749,CORPORACION AREMCO PERU S.A.C.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,"AV. NESTOR GAMBETTA KM. 11.5, LOTE B-2",2026-08-07 16:42:46,126,GASOHOL REGULAR,16.2,Galones,182596,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
182596-048-260126,20613483749,CORPORACION AREMCO PERU S.A.C.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,"AV. NESTOR GAMBETTA KM. 11.5, LOTE B-2",2026-08-07 16:42:46,127,GASOHOL PREMIUM,17.19,Galones,182596,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
182596-048-260126,20613483749,CORPORACION AREMCO PERU S.A.C.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,"AV. NESTOR GAMBETTA KM. 11.5, LOTE B-2",2026-08-07 16:42:46,40,Diesel B5 S-50 UV,20.34,Galones,182596,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
182596-048-260126,20613483749,CORPORACION AREMCO PERU S.A.C.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,"AV. NESTOR GAMBETTA KM. 11.5, LOTE B-2",2026-08-07 16:42:46,45,Diesel B5 S-50,20.34,Galones,182596,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
182840-048-041125,20512081372,NEGOCIACION KIO S.A.C.,LIMA,LIMA,LURIN,CARRETERA PANAMERICANA SUR KM 26.5,2026-08-04 18:37:22,126,GASOHOL REGULAR,18.51,Galones,182840,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
182840-048-041125,20512081372,NEGOCIACION KIO S.A.C.,LIMA,LIMA,LURIN,CARRETERA PANAMERICANA SUR KM 26.5,2026-08-04 18:37:22,127,GASOHOL PREMIUM,18.79,Galones,182840,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
182840-048-041125,20512081372,NEGOCIACION KIO S.A.C.,LIMA,LIMA,LURIN,CARRETERA PANAMERICANA SUR KM 26.5,2026-08-04 18:37:22,40,Diesel B5 S-50 UV,23.63,Galones,182840,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
182840-048-041125,20512081372,NEGOCIACION KIO S.A.C.,LIMA,LIMA,LURIN,CARRETERA PANAMERICANA SUR KM 26.5,2026-08-04 18:37:22,45,Diesel B5 S-50,25.2,Galones,182840,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
182944-048-191225,20613460871,MEGA COMBUSTIBLES S.A.C.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,VENTANILLA,CARRETERA A VENTANILLA KM. 25,2026-06-16 16:42:13,126,GASOHOL REGULAR,14.63,Galones,182944,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
182944-048-191225,20613460871,MEGA COMBUSTIBLES S.A.C.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,VENTANILLA,CARRETERA A VENTANILLA KM. 25,2026-06-16 16:42:13,127,GASOHOL PREMIUM,15.57,Galones,182944,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
182944-048-191225,20613460871,MEGA COMBUSTIBLES S.A.C.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,VENTANILLA,CARRETERA A VENTANILLA KM. 25,2026-06-16 16:42:13,40,Diesel B5 S-50 UV,17.17,Galones,182944,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
