NRO_REGISTRO,RUC,RAZON,DEPARTAMENTO,PROVINCIA,DISTRITO,DIRECCION,FCHA_REGISTRO,COD_PRODUCTO,PRODUCTO,PRECIO_VENTA,UNIDAD,CODIGO_OSINERG,ACTIVIDAD,COD_ACTIVIDAD,MARCA
185790-048-190226,20613460871,MEGA COMBUSTIBLES S.A.C.,CUSCO,CUSCO,SAN JERONIMO,OSCOLLOPAMPA,2026-06-16 17:15:58,40,Diesel B5 S-50 UV,19.16,Galones,185790,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
185790-048-190226,20613460871,MEGA COMBUSTIBLES S.A.C.,CUSCO,CUSCO,SAN JERONIMO,OSCOLLOPAMPA,2026-06-16 17:15:58,45,Diesel B5 S-50,19.2,Galones,185790,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
185792-048-010326,20613460871,MEGA COMBUSTIBLES S.A.C.,PIURA,TALARA,PARIÑAS,ZONA INDUSTRIAL S/N TABLAZO  PLANTA DE ABASTECIMIENTO TALARA,2026-06-16 17:40:41,126,GASOHOL REGULAR,15.72,Galones,185792,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
185792-048-010326,20613460871,MEGA COMBUSTIBLES S.A.C.,PIURA,TALARA,PARIÑAS,ZONA INDUSTRIAL S/N TABLAZO  PLANTA DE ABASTECIMIENTO TALARA,2026-06-16 17:40:41,127,GASOHOL PREMIUM,16.2,Galones,185792,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
185792-048-010326,20613460871,MEGA COMBUSTIBLES S.A.C.,PIURA,TALARA,PARIÑAS,ZONA INDUSTRIAL S/N TABLAZO  PLANTA DE ABASTECIMIENTO TALARA,2026-06-16 17:40:41,40,Diesel B5 S-50 UV,18.61,Galones,185792,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
185792-048-010326,20613460871,MEGA COMBUSTIBLES S.A.C.,PIURA,TALARA,PARIÑAS,ZONA INDUSTRIAL S/N TABLAZO  PLANTA DE ABASTECIMIENTO TALARA,2026-06-16 17:40:41,45,Diesel B5 S-50,18.88,Galones,185792,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
185793-048-010326,20613460871,MEGA COMBUSTIBLES S.A.C.,PIURA,PIURA,VEINTISEIS DE OCTUBRE,CARRETERA PIURASULLANA KM 4.38  ZONA INDUSTRIAL PIURA,2026-06-16 17:34:42,126,GASOHOL REGULAR,15.77,Galones,185793,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
185793-048-010326,20613460871,MEGA COMBUSTIBLES S.A.C.,PIURA,PIURA,VEINTISEIS DE OCTUBRE,CARRETERA PIURASULLANA KM 4.38  ZONA INDUSTRIAL PIURA,2026-06-16 17:34:42,127,GASOHOL PREMIUM,16.34,Galones,185793,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
185793-048-010326,20613460871,MEGA COMBUSTIBLES S.A.C.,PIURA,PIURA,VEINTISEIS DE OCTUBRE,CARRETERA PIURASULLANA KM 4.38  ZONA INDUSTRIAL PIURA,2026-06-16 17:34:42,40,Diesel B5 S-50 UV,18.75,Galones,185793,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
185793-048-010326,20613460871,MEGA COMBUSTIBLES S.A.C.,PIURA,PIURA,VEINTISEIS DE OCTUBRE,CARRETERA PIURASULLANA KM 4.38  ZONA INDUSTRIAL PIURA,2026-06-16 17:34:42,45,Diesel B5 S-50,19.32,Galones,185793,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
185805-048-220226,20613460871,MEGA COMBUSTIBLES S.A.C.,MOQUEGUA,ILO,ILO,"AV. MARIANO LINO URQUIETA N°1003, URB. SECTOR 2",2026-06-16 17:10:02,127,GASOHOL PREMIUM,17.11,Galones,185805,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
