codigo_siniestro,fecha,anio,dia_semana,hora,hora_num,provincia,distrito,zona,tipo_via,clase_siniestro,causa_principal,cantidad_fallecidos,cantidad_lesionados,latitud,longitud
A-2023-04-171,2023-04-12,2023,MIERCOLES,00:00,0,LIMA,LIMA,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.056666,-77.014752
A-2023-04-170,2023-04-12,2023,MIERCOLES,13:00,13,LIMA,PACHACAMAC,URBANA,CALLE,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.104074,-76.875154
A-2023-04-185,2023-04-12,2023,MIERCOLES,13:00,13,LIMA,PACHACAMAC,URBANA,CALLE,VOLCADURA,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.104079,-76.875143
A-2023-04-157,2023-04-14,2023,VIERNES,23:30,23,LIMA,SAN JUAN DE MIRAFLORES,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.187673,-76.958698
A-2023-04-150,2023-04-16,2023,DOMINGO,04:40,4,LIMA,LA VICTORIA,URBANA,AVENIDA,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,1,0,-12.06694,-76.998495
A-2023-04-149,2023-04-22,2023,SABADO,03:30,3,LIMA,LIMA,URBANA,AVENIDA,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,1,0,-12.059205,-77.013558
A-2023-04-148,2023-04-22,2023,SABADO,09:40,9,LIMA,ATE,URBANA,AVENIDA,ATROPELLO FUGA,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.015991,-76.890605
A-2023-04-146,2023-04-23,2023,DOMINGO,12:20,12,LIMA,SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.014321,-77.001727
A-2023-04-138,2023-04-23,2023,DOMINGO,14:10,14,LIMA,VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.170912,-76.946248
A-2023-04-136,2023-04-24,2023,LUNES,04:30,4,LIMA,ATE,URBANA,CARRETERA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.008281,-76.860416
A-2023-04-137,2023-04-24,2023,LUNES,09:30,9,LIMA,SAN MARTIN DE PORRES,URBANA,AVENIDA,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.030359,-77.060536
A-2023-04-135,2023-04-24,2023,LUNES,13:20,13,LIMA,SANTA ANITA,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.053446,-76.965253
A-2023-04-133,2023-04-24,2023,LUNES,16:30,16,LIMA,PUNTA HERMOSA,RURAL,AVENIDA,CAÍDA DE PASAJERO,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.303466,-76.780648
A-2023-04-134,2023-04-25,2023,MARTES,15:20,15,LIMA,ATE,RURAL,AVENIDA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.020831,-76.811399
