codigo_siniestro,codigo_persona,anio,fecha,hora,franja_horaria,provincia,distrito,tipo_persona,gravedad,lugar_defuncion,lugar_atencion_lesionado,sexo,edad,vehiculo,clase_siniestro,red_vial,tipo_via,zona,zonificacion,caracteristicas_via,superficie_calzada
A-2023-12-89,P-2023-12-89-1-2,2023,2023-12-02,19:20,NOCHE (18-23),LIMA,CARABAYLLO,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,74,CAMIONETA RURAL,ATROPELLO,NACIONAL,CARRETERA,URBANA,COMERCIAL,INTERSECCIÓN,ASFALTADA
A-2023-12-90,P-2023-12-90-1-1,2023,2023-12-04,00:23,MADRUGADA (00-05),LIMA,COMAS,CONDUCTOR,ILESO,,,MASCULINO,31,MOTOCICLETA,DESPISTE,URBANO,AVENIDA,URBANA,ESCOLAR,TRAMO RECTO,ASFALTADA
A-2023-12-90,P-2023-12-90-1-2,2023,2023-12-04,00:23,MADRUGADA (00-05),LIMA,COMAS,PASAJERO,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,FEMENINO,31,MOTOCICLETA,DESPISTE,URBANO,AVENIDA,URBANA,ESCOLAR,TRAMO RECTO,ASFALTADA
A-2023-12-91,P-2023-12-91-1-1,2023,2023-12-04,02:30,MADRUGADA (00-05),LIMA,LOS OLIVOS,CONDUCTOR,ILESO,,,MASCULINO,48,AUTOMÓVIL,ATROPELLO,NACIONAL,CARRETERA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
A-2023-12-91,P-2023-12-91-1-2,2023,2023-12-04,02:30,MADRUGADA (00-05),LIMA,LOS OLIVOS,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,30,AUTOMÓVIL,ATROPELLO,NACIONAL,CARRETERA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
A-2023-12-92,P-2023-12-92-1-1,2023,2023-12-04,18:30,NOCHE (18-23),LIMA,ATE,CONDUCTOR,ILESO,,,MASCULINO,23,AUTOMÓVIL,ATROPELLO,NACIONAL,CARRETERA,URBANA,COMERCIAL,CURVA,ASFALTADA
A-2023-12-92,P-2023-12-92-1-2,2023,2023-12-04,18:30,NOCHE (18-23),LIMA,ATE,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,72,AUTOMÓVIL,ATROPELLO,NACIONAL,CARRETERA,URBANA,COMERCIAL,CURVA,ASFALTADA
A-2023-12-146,P-2023-12-146-1-1,2023,2023-12-06,12:30,TARDE (12-17),CALLAO,BELLAVISTA,CONDUCTOR,ILESO,,,MASCULINO,55,CAMIÓN,ATROPELLO,URBANO,AVENIDA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
A-2023-12-146,P-2023-12-146-1-2,2023,2023-12-06,12:30,TARDE (12-17),CALLAO,BELLAVISTA,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,90,CAMIÓN,ATROPELLO,URBANO,AVENIDA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
A-2023-12-95,P-2023-12-95-1-1,2023,2023-12-06,17:00,TARDE (12-17),LIMA,ATE,CONDUCTOR FUGADO,NO SE CONOCE,,,NO INDICA,,OTRO,ATROPELLO FUGA,URBANO,OTRO,URBANA,INDUSTRIAL,INTERSECCIÓN,CASCAJO/RIPIO
A-2023-12-95,P-2023-12-95-1-2,2023,2023-12-06,17:00,TARDE (12-17),LIMA,ATE,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,66,OTRO,ATROPELLO FUGA,URBANO,OTRO,URBANA,INDUSTRIAL,INTERSECCIÓN,CASCAJO/RIPIO
A-2023-12-93,P-2023-12-93-1-1,2023,2023-12-07,23:50,NOCHE (18-23),LIMA,VILLA EL SALVADOR,CONDUCTOR,LESIONADO,,OTRO,MASCULINO,35,MOTOCICLETA,ATROPELLO,NACIONAL,CARRETERA,RURAL,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2023-12-93,P-2023-12-93-1-2,2023,2023-12-07,23:50,NOCHE (18-23),LIMA,VILLA EL SALVADOR,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,28,MOTOCICLETA,ATROPELLO,NACIONAL,CARRETERA,RURAL,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2023-12-94,P-2023-12-94-1-1,2023,2023-12-08,19:15,NOCHE (18-23),LIMA,LOS OLIVOS,CONDUCTOR,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,48,STATION WAGON,CHOQUE,NACIONAL,CARRETERA,URBANA,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2023-12-94,P-2023-12-94-2-1,2023,2023-12-08,19:15,NOCHE (18-23),LIMA,LOS OLIVOS,CONDUCTOR,ILESO,,,MASCULINO,49,ÓMNIBUS,CHOQUE,NACIONAL,CARRETERA,URBANA,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2023-12-96,P-2023-12-96-1-1,2023,2023-12-09,04:20,MADRUGADA (00-05),LIMA,CARABAYLLO,CONDUCTOR FUGADO,NO SE CONOCE,,,NO INDICA,,VEHICULO NO IDENTIFICADO,ATROPELLO FUGA,URBANO,AVENIDA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
A-2023-12-96,P-2023-12-96-1-2,2023,2023-12-09,04:20,MADRUGADA (00-05),LIMA,CARABAYLLO,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,33,VEHICULO NO IDENTIFICADO,ATROPELLO FUGA,URBANO,AVENIDA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
A-2023-12-97,P-2023-12-97-1-1,2023,2023-12-09,20:55,NOCHE (18-23),LIMA,LOS OLIVOS,CONDUCTOR,ILESO,,,MASCULINO,24,MOTOCICLETA,ATROPELLO,URBANO,AVENIDA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
A-2023-12-97,P-2023-12-97-1-2,2023,2023-12-09,20:55,NOCHE (18-23),LIMA,LOS OLIVOS,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,90,MOTOCICLETA,ATROPELLO,URBANO,AVENIDA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
A-2023-12-98,P-2023-12-98-1-1,2023,2023-12-10,22:40,NOCHE (18-23),LIMA,LIMA,CONDUCTOR,ILESO,,,MASCULINO,34,TRIMOTO PASAJERO,ATROPELLO,URBANO,AVENIDA,URBANA,COMERCIAL,INTERSECCIÓN,ASFALTADA
A-2023-12-98,P-2023-12-98-1-2,2023,2023-12-10,22:40,NOCHE (18-23),LIMA,LIMA,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,38,TRIMOTO PASAJERO,ATROPELLO,URBANO,AVENIDA,URBANA,COMERCIAL,INTERSECCIÓN,ASFALTADA
A-2023-12-99,P-2023-12-99-1-1,2023,2023-12-11,10:30,MANANA (06-11),LIMA,LOS OLIVOS,CONDUCTOR,ILESO,,,MASCULINO,26,MINIBUS,ATROPELLO,URBANO,AVENIDA,URBANA,COMERCIAL,CURVA,ASFALTADA
A-2023-12-99,P-2023-12-99-1-2,2023,2023-12-11,10:30,MANANA (06-11),LIMA,LOS OLIVOS,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,69,MINIBUS,ATROPELLO,URBANO,AVENIDA,URBANA,COMERCIAL,CURVA,ASFALTADA
A-2023-12-100,P-2023-12-100-1-1,2023,2023-12-11,18:20,NOCHE (18-23),LIMA,COMAS,CONDUCTOR,ILESO,,,MASCULINO,34,MOTOCICLETA,ATROPELLO,URBANO,AVENIDA,URBANA,COMERCIAL,INTERSECCIÓN,ASFALTADA
