codigo_siniestro,fecha,anio,hora,franja_horaria,distrito,zona,tipo_via,clase_siniestro,cantidad_fallecidos,cantidad_lesionados,n_vehiculos,vehiculo_fugado,soat_no_vigente
A-2022-06-262,2022-06-01,2022,11:40,MANANA (06-11),VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,DESPISTE,1,0,1,NO,SI
A-2022-06-261,2022-06-01,2022,13:30,TARDE (12-17),SAN MARTIN DE PORRES,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,SI
A-2022-06-263,2022-06-02,2022,18:10,NOCHE (18-23),VILLA EL SALVADOR,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,SI
A-2022-06-216,2022-06-05,2022,03:00,MADRUGADA (00-05),CHORRILLOS,URBANA,AVENIDA,CHOQUE,1,1,2,NO,NO
A-2022-06-215,2022-06-05,2022,08:00,MANANA (06-11),CARABAYLLO,URBANA,AVENIDA,DESPISTE,1,1,1,NO,NO
A-2022-06-217,2022-06-05,2022,12:00,TARDE (12-17),ATE,URBANA,AVENIDA,CHOQUE,1,1,2,NO,NO
A-2022-06-264,2022-06-06,2022,09:15,MANANA (06-11),SANTIAGO DE SURCO,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,SI
A-2022-06-214,2022-06-06,2022,09:45,MANANA (06-11),SAN JUAN DE LURIGANCHO,RURAL,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2022-06-94,2022-06-07,2022,17:30,TARDE (12-17),CALLAO,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2022-06-213,2022-06-07,2022,19:45,NOCHE (18-23),CIENEGUILLA,URBANA,CARRETERA,DESPISTE,1,1,1,NO,SI
A-2022-06-212,2022-06-09,2022,15:30,TARDE (12-17),LA VICTORIA,URBANA,AVENIDA,CHOQUE,1,1,2,NO,SI
A-2022-06-211,2022-06-16,2022,01:30,MADRUGADA (00-05),LIMA,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2022-06-210,2022-06-16,2022,09:00,MANANA (06-11),VILLA EL SALVADOR,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,SI
A-2022-06-209,2022-06-17,2022,03:00,MADRUGADA (00-05),LA VICTORIA,URBANA,JIRÓN,ATROPELLO,1,0,1,NO,NO
A-2022-06-206,2022-06-18,2022,06:15,MANANA (06-11),ANCON,URBANA,CARRETERA,CHOQUE,1,1,2,NO,SI
A-2022-06-205,2022-06-18,2022,09:00,MANANA (06-11),SAN MARTIN DE PORRES,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2022-06-207,2022-06-18,2022,20:20,NOCHE (18-23),SANTA ANITA,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,SI
A-2022-06-208,2022-06-18,2022,23:00,NOCHE (18-23),SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2022-06-204,2022-06-19,2022,03:00,MADRUGADA (00-05),LURIGANCHO,URBANA,CARRETERA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-06-203,2022-06-19,2022,06:00,MANANA (06-11),LA VICTORIA,URBANA,AVENIDA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-06-202,2022-06-19,2022,22:50,NOCHE (18-23),PUENTE PIEDRA,URBANA,CARRETERA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-06-199,2022-06-21,2022,00:30,MADRUGADA (00-05),SAN JUAN DE MIRAFLORES,URBANA,CARRETERA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-06-200,2022-06-21,2022,06:40,MANANA (06-11),LOS OLIVOS,URBANA,AVENIDA,DESPISTE,1,0,1,NO,NO
A-2022-06-201,2022-06-21,2022,15:50,TARDE (12-17),LOS OLIVOS,URBANA,AVENIDA,CHOQUE,1,4,2,NO,NO
A-2022-06-198,2022-06-25,2022,12:00,TARDE (12-17),ATE,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,SI
