codigo_siniestro,codigo_persona,tipo_persona,gravedad,sexo,edad,vehiculo
A-2022-06-198,P-2022-06-198-1-1,CONDUCTOR,ILESO,MASCULINO,26,TRIMOTO PASAJERO
A-2022-06-198,P-2022-06-198-1-2,PEATÓN,FALLECIDO,MASCULINO,85,TRIMOTO PASAJERO
A-2022-06-199,P-2022-06-199-1-1,CONDUCTOR FUGADO,NO SE CONOCE,NO INDICA,,VEHICULO NO IDENTIFICADO
A-2022-06-199,P-2022-06-199-1-2,PEATÓN,FALLECIDO,MASCULINO,,VEHICULO NO IDENTIFICADO
A-2022-06-200,P-2022-06-200-1-1,CONDUCTOR,ILESO,MASCULINO,20,CAMIÓN
A-2022-06-200,P-2022-06-200-1-2,PEATÓN,FALLECIDO,FEMENINO,63,CAMIÓN
A-2022-06-201,P-2022-06-201-1-1,CONDUCTOR,ILESO,MASCULINO,44,AUTOMÓVIL
A-2022-06-201,P-2022-06-201-2-1,CONDUCTOR FUGADO,NO SE CONOCE,NO INDICA,,CAMIONETA RURAL
A-2022-06-201,P-2022-06-201-2-2,PASAJERO,LESIONADO,FEMENINO,28,CAMIONETA RURAL
A-2022-06-201,P-2022-06-201-2-3,PASAJERO,LESIONADO,MASCULINO,31,CAMIONETA RURAL
A-2022-06-201,P-2022-06-201-2-4,PASAJERO,LESIONADO,MASCULINO,41,CAMIONETA RURAL
A-2022-06-201,P-2022-06-201-2-5,PASAJERO,LESIONADO,FEMENINO,34,CAMIONETA RURAL
A-2022-06-201,P-2022-06-201-2-6,PASAJERO,FALLECIDO,FEMENINO,6,CAMIONETA RURAL
A-2022-06-202,P-2022-06-202-1-1,CONDUCTOR FUGADO,NO SE CONOCE,NO INDICA,,VEHICULO NO IDENTIFICADO
A-2022-06-202,P-2022-06-202-1-2,PEATÓN,FALLECIDO,MASCULINO,49,VEHICULO NO IDENTIFICADO
A-2022-06-203,P-2022-06-203-1-1,CONDUCTOR FUGADO,NO SE CONOCE,NO INDICA,,VEHICULO NO IDENTIFICADO
A-2022-06-203,P-2022-06-203-1-2,PEATÓN,FALLECIDO,MASCULINO,65,VEHICULO NO IDENTIFICADO
A-2022-06-204,P-2022-06-204-1-1,CONDUCTOR FUGADO,NO SE CONOCE,NO INDICA,,VEHICULO NO IDENTIFICADO
A-2022-06-204,P-2022-06-204-1-2,PEATÓN,FALLECIDO,MASCULINO,,VEHICULO NO IDENTIFICADO
A-2022-06-205,P-2022-06-205-1-1,CONDUCTOR,ILESO,MASCULINO,51,MINIBUS
A-2022-06-205,P-2022-06-205-1-2,PEATÓN,FALLECIDO,MASCULINO,83,MINIBUS
A-2022-06-206,P-2022-06-206-1-1,CONDUCTOR,ILESO,MASCULINO,25,AUTOMÓVIL
A-2022-06-206,P-2022-06-206-1-2,PASAJERO,LESIONADO,MASCULINO,29,AUTOMÓVIL
A-2022-06-206,P-2022-06-206-2-1,CONDUCTOR,FALLECIDO,MASCULINO,44,TRIMOTO CARGA
A-2022-06-207,P-2022-06-207-1-1,CONDUCTOR,ILESO,MASCULINO,73,CAMIONETA RURAL
A-2022-06-207,P-2022-06-207-1-2,PEATÓN,FALLECIDO,MASCULINO,44,CAMIONETA RURAL
