"codigo_osinerg","razon_social","actividad","departamento","provincia","distrito","direccion","fecha_reporte"
"100010","ECOX S.A.C.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","SAN MARTIN","TOCACHE","TOCACHE","JR. MARISCAL RAMON CASTILLA N° 671 INTERSECCION JR. FREDY ALIAGA S/N","2026-08-08"
"100012","SERVICENTRO 777 S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","LIMA","LIMA","CARABAYLLO","AV. LAS LOMAS DE CARABAYLLO (VÍA PERIURBANA TRAMO I-C), MZ. A, LOTE 01 - ASOCIACIÓN AGROPECUARIA LOS PALOMARES","2026-08-07"
"100048","GE INVERSIONES EIRL","GASOCENTROS DE GLP","LIMA","LIMA","VILLA EL SALVADOR","AV. 1 DE MAYO MZ. E LT 32-33 1ER SECTOR COOP. VIV. VIRGEN DE COCHARCAS","2026-08-08"
"100116","ESTACIÓN DE SERVICIOS J & K SANTIAGO S.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","UCAYALI","PADRE ABAD","PADRE ABAD","PARCELA 7B DE LA PARCELACION MARIELA II ETAPA","2026-08-09"
"100129","GRIFO PARIAHUANCA","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","AYACUCHO","CANGALLO","LOS MOROCHUCOS","CARRETERA AYACUCHO VILCASHUAMAN-CANGALLO KM 53","2026-08-04"
"100144","EMPRESA DE TRANSPORTES IMPERIAL NUEVO IMPERIAL LA FLORIDA Nº 06 S.A.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LIMA","CAÑETE","NUEVO IMPERIAL","LOTIZACION EL CONDE, LOTE 1, PARCELA P-87-1","2026-08-08"
"100155","COESTI S.A","EE.SS con GLP y GNV","LIMA","LIMA","LA VICTORIA","AV. NICOLAS ARRIOLA N° 710, URB. SANTA CATALINA","2026-08-08"
"100157","GRIFO Y SERVICIOS MULTIPLES ALEXSANDRA S.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","PASCO","PASCO","SIMON BOLIVAR","AV. PROGRESO S/N A UNA CUADRA DEL PALACIO MUNICIPAL","2026-08-06"
"100232","ESTACION DE SERVICIOS PACHACAMAC S.A.C.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LIMA","LIMA","PACHACAMAC","AV. PAUL POBLET, MZ. ""C"" SUB LOTE 1-A, HUERTO DE PACHACAMAC","2026-08-08"
"100237","COMBUSTIBLES MAYTA SRL","ESTACIÓN DE SERVICIOS / GRIFOS","UCAYALI","PADRE ABAD","ALEXANDER VON HUMBOLD","CARRETERA FEDERICO BASADRE KM. 86.200 - JUNTA VECINAL SAN FERNANDO","2026-08-08"
"100240","FIDEL SULLCA HUAMAN","ESTACIÓN DE SERVICIOS / GRIFOS","LIMA","HUAROCHIRI","SAN ANTONIO","AV. TUPAC AMARU ESQUINA CON AV. LOS HEROES MZ CV LT 05 SECTOR EL VALLE DE LA COMUNIDAD CAMPESINA DE JICAMARCA ANEXO 22","2026-08-07"
"100259","COMPANIA PERUANA DE PETROLEO GAS Y GASOLINA SAC","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LAMBAYEQUE","CHICLAYO","LA VICTORIA","AV. GRAN CHIMU MZ. C LOTE 12 INTERSECCION CON AV. MIGUEL GRAU","2026-08-08"
"100276","GRIFO CESAR","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","HUANUCO","AMBO","AMBO","INTERSECCION MALECON LEONCIO PRADO JR LIBERTAD","2026-08-07"
"100280","ESTACION DE SERVICIOS SAN JOSE ESPINAR CUSCO SRL","ESTACIÓN DE SERVICIOS / GRIFOS","CUSCO","ESPINAR","PALLPATA","ESQUINA CALLE PUNO Y CALLE BOLIVAR MZ. L-2 LOTE 08 - BARRIO PROGRESO","2026-08-08"
"100281","INVERSIONES GENERALES PACIFIC GROUP SAC","ESTACIÓN DE SERVICIOS / GRIFOS","HUANUCO","DOS DE MAYO","RIPAN","INTERSECCION JR JUNIN CON EL JR TACNA","2026-08-09"
"100345","ESTACION DE SERVICIOS TARMA","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","JUNIN","TARMA","TARMA","CARRETERA TARMA - LA OROYA KM 25 + 279 SECTOR CASA BLANCA","2026-08-09"
"100398","GRIFO COMBUSTIBLES DEL ORIENTE","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","MANU","MADRE DE DIOS","CARRETERA COLORADO-PUNKIRI CHICO KM. 33+560","2026-08-09"
"100409","MARIA DEL CARMEN CAMPANA CUELLAR","ESTACIÓN DE SERVICIOS / GRIFOS","APURIMAC","ABANCAY","CURAHUASI","EX FUNDO LUCMOS A 100 MTS DEL HOSPITAL DE DIOSPISUYANA","2026-08-05"
"100436","PROYECTO INVERSIONES JM S.R.L.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LIMA","CAÑETE","SAN VICENTE DE CAÑETE","AV. MARISCAL BENAVIDES N° 1399","2026-08-08"
"100459","ROSA CRUZ CASQUINO","ESTACIÓN DE SERVICIOS / GRIFOS","PUNO","PUNO","PUNO","AV. PANAMERICANA SUR Nº 410 - BARRIO CHEJOÑA","2026-07-30"
"100539","GASOLINERA CHAUPIN S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","LIMA","CAÑETE","NUEVO IMPERIAL","AV. LOS LIBERTADORES S/N, CENTRO POBLADO AUGUSTO B. LEGUIA (ALTURA KM 12, MARGEN DERECHA CARRETERA CAÑETE - YAUYOS)","2026-08-03"
"100712","BERTIZ MARGARITA BERECHE BALDERA","ESTACIÓN DE SERVICIOS / GRIFOS","LAMBAYEQUE","FERREÑAFE","PITIPO","PREDIO MI ELUYAJE SECTOR LA BALSA CALLE PROLONGACION REAL S/N-BATANGRANDE","2026-08-07"
"100754","INVERSIONES CHRIAAL SOCIEDAD ANONIMA CERRADA - INVERSIONES CHRIAAL S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","APURIMAC","ABANCAY","CURAHUASI","AV. PANAMERICANA S/N, SECTOR QUISCAPAMPA, CARRETERA CUSCO-ABANCAY","2026-08-05"
"100813","GRIFO EL PEDREGAL S.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","AREQUIPA","CAYLLOMA","MAJES","URB. GRANJA 61, SECCIÓN A, PRIMERA ETAPA","2026-08-05"
"100822","ESTACION DE SERVICIOS MARPETROL S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","CUSCO","CHUMBIVILCAS","VELILLE","CAR. ESPINAR - VELILLE NRO. S/N URB. SOL DE ORO (CRUCE CON CALLE WIRACOCHA EN EST. SERV.)","2026-08-07"
"100862","ESTACION DE SERVICIOS MAROS S.A.C","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LIMA","HUAURA","SANTA MARIA","AV. CENTENARIO S/N ESQ. CON CALLE CEFERINO RAMIREZ","2026-08-04"
"100967","INVERSIONES COLLAO E.I.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","PUNO","PUNO","ACORA","AV. PANAMERICANA KM 34.18","2026-08-07"
"100969","ANA JECENIA PALACIOS GAMARRA","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","JUNIN","SATIPO","RIO NEGRO","AV. ALAMEDA MARGINAL NORTE, INTERSECCIONES CON EL JR. LOS NOGALES","2026-08-08"
"100970","SERVICIOS GENERALES MCV SAC","ESTACIÓN DE SERVICIOS / GRIFOS","JUNIN","SATIPO","RIO NEGRO","CARRETERA MARGINAL KM 98 URB. LA CAMPIÑA","2026-08-03"
"100972","JOSE LUIS BAZAN CORDOVA","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","SAN MARTIN","TOCACHE","UCHIZA","AV. MARCELIANO ALVAREZ N° 501 MZ 27 E, LOTE 1","2026-08-07"
"101012","NEGOCIACIONES PANEZ ROMERO EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","ESTACIÓN DE SERVICIOS / GRIFOS","JUNIN","SATIPO","SATIPO","AV. MICAELA BASTIDAS N° 310","2026-08-08"
"101109","ANTONIO OCAMPO RODRIGUEZ","ESTACIÓN DE SERVICIOS / GRIFOS","AMAZONAS","RODRIGUEZ DE MENDOZA","OMIA","CODIGO CATASTRAL 173 -A MARGEN DERECHA DEL RIO MASHUYACU","2026-08-09"
"101279","ELIZABETH AZULA PEREZ","ESTACIÓN DE SERVICIOS / GRIFOS","CAJAMARCA","SAN MIGUEL","LLAPA","CARRETERA CAJAMARCA HUALGAYOC KM 71-CASERIO COIMOLACHE","2026-08-07"
"101335","COESTI SA ESS EL MILAGRO","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LA LIBERTAD","TRUJILLO","HUANCHACO","ESQ. AV. MIGUEL GRAU CON CALLE JOSE CARLOS MARIATEGUI, AA.HH. EL MILAGRO,SECTOR 1 MZ 5 LOTE 4","2026-08-08"
"101360","BACA FERRO JUAN LEONARDO","ESTACIÓN DE SERVICIOS / GRIFOS","CUSCO","CALCA","PISAC","CALLE SAÑOHUASI S/N","2026-08-05"
"101383","OLGA GRACIELA GAVINO CAJAHUAMAN","ESTACIÓN DE SERVICIOS / GRIFOS","PASCO","PASCO","TICLACAYAN","CARRETERA CENTRAL KM. 325 HUANUCO - CERRO DE PASCO, ANEXO DE YANAPAMPA","2026-08-05"
"101406","GRIFO H.N.S. SANTA ROSA E.I.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","LORETO","MAYNAS","FERNANDO LORES","CALLE AMAZONAS MZ. L, LOTES 37 Y 38 - TAMSHIYACU","2026-08-03"
"101446","ZETA GAS ANDINO S.A","GASOCENTROS DE GLP","AREQUIPA","CAYLLOMA","MAJES","GRANJA FORESTAL MZ G-377, SUB LOTE A, SECTOR EL PEDREGAL, SECCION A","2026-07-24"
"101451","CARRASCO ORTEGA EVER JUNIOR","ESTACIÓN DE SERVICIOS / GRIFOS","ANCASH","HUAYLAS","CARAZ","JR. SAN MARTIN S/N MZ. Q LOTE 44  BARRIO YANACHACA","2026-08-02"
"101467","GRIFO SAN BARTOLOME E.I.R.L.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LIMA","LIMA","PUENTE PIEDRA","CALLE TACNA ESQUINA CON CALLE ABANCAY MZ. 77, LOTES 1 Y 2, AA.HH. SANTA ROSA","2026-08-09"
"101573","GLOBAL FUEL S.A.","ESTACIÓN DE SERVICIOS / GRIFOS","PIURA","PAITA","PAITA","ZONA INDUSTRIAL II MZ. V SUB LOTES 1B-5 Y 1B-6","2026-08-09"
"101616","VICENTE CHACACANTA NUÑEZ DE LA TORRE","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","MANU","HUEPETUHE","CALLE PRINCIPAL MZ C LT 3, NUEVA EXPANSION URBANA PARTE ALTA.","2026-08-06"
"101617","INES GUMERCINDA ROSA DE MEDINA","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","MANU","HUEPETUHE","CALLE PRINCIPAL MZ. D LT. 6, NUEVA EXPANSION URBANA PARTE ALTA","2026-08-09"
"101622","INVERSIONES ARACELY E.I.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","AYACUCHO","LA MAR","SAMUGARI","AV. 15 DE OCTUBRE S/N CERCADO DE PALMAPAMPA","2026-08-07"
"101635","TORIBIO ERNESTO PEREZ VALER","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","MANU","HUEPETUHE","CALLE PRINCIPAL MZ. C,LOTE 02,NUEVA EXPANSION URBANA PARTE ALTA","2026-08-05"
"101642","GRUPO QUILLY SOCIEDAD ANONIMA CERRADA","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","MANU","HUEPETUHE","CALLE PRINCIPAL MZ. C, LOTE 4","2026-08-06"
"101659","ANDRES CORCINO PALOMINO CCORAHUA","ESTACIÓN DE SERVICIOS / GRIFOS","HUANCAVELICA","ANGARAES","LIRCAY","AV. ANCCARA S/N. MZ H LT 7 Y 8 - BARRIO BELLAVISTA","2026-08-06"
"101676","ESTACION DE SERVICIO MIRA E.I.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","CUSCO","LA CONVENCION","PICHARI","PREDIO RUSTICO Nº 6, SECTOR OMAYA BAJA, CARRETERA PICHARI-SAN FRANCISCO","2026-08-05"
"101739","MULTISERVICIOS LIM TRANSPOR SAC","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","HUANUCO","DOS DE MAYO","PACHAS","CARRETERA HUANUCO - LA UNION BARRIO DEL CARMEN ALTO","2026-08-09"
"101753","MULTISERVICIOS BARRANQUILLA S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","MANU","HUEPETUHE","CARRETERA PUERTO PUNKIRI CAYCHIHUE BARRACA-HUEPETUHE, KM. 06 + 50 SECTOR CAYCHIHUE BARRACA","2026-08-05"
"101850","INVERSIONES PERCY CAR S.R.L.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LIMA","LIMA","VILLA EL SALVADOR","SECTOR 1 GRUPO 25A - MZ. I, LT. 1","2026-08-09"
"101912","GRIFO 4D E.I.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","LAMBAYEQUE","LAMBAYEQUE","LAMBAYEQUE","PREDIO SIALUPE, UC 10762, ANTIGUA CARRETERA PANAMERICANA NORTE KM 10+021","2026-08-08"
"101944","GRIFO RURAL KATHERIN EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","MANU","HUEPETUHE","CALLE PRINCIPAL LT. 01 MZ. R CENTRO POBLADO MENOR CHOQUE","2026-08-07"
"101946","MULTISERVICIOS SILVIA ROSARIO E.I.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","MANU","HUEPETUHE","CALLE PRINCIPAL MZ. C, LT 01 -NUEVA EXPANSION URBANA- PARTE ALTA","2026-08-07"
"101947","ERNESTO AVELINO GUZMAN PANCORBO","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","MANU","HUEPETUHE","CALLE PRINCIPAL MZ. D LT. 7 NUEVA EXPANSION URBANA PARTE ALTA","2026-08-05"
"101980","SERVICENTRO PETRO MAPI EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","MANU","HUEPETUHE","CALLE PRINCIPAL INDEPENDENCIA MZ. L, LOTE 13","2026-08-08"
"102049","ARMANDA ENMA RAMOS AQUIÑO","ESTACIÓN DE SERVICIOS / GRIFOS","ANCASH","HUARAZ","PARIACOTO","AV. GABRIEL RAMOS S/N, CARRETERA HUARAZ-CASMA KM. 55.5","2026-08-06"
"102051","PETROLNASCA S.R.L","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","JUNIN","SATIPO","MAZAMARI","AV. LOS CAFETALEROS N° 137 H.U. COMANDANTE VALENTIN ALVAREZ","2026-08-09"
"102076","INVERSIONES ROHAMA S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","LORETO","MAYNAS","PUNCHANA","AV. LA MARINA N° 1814","2026-08-08"
"102107","CONSORCIO RAMIREZ HNOS. S.A. ","ESTACIÓN DE SERVICIOS / GRIFOS","HUANCAVELICA","TAYACAJA","DANIEL HERNANDEZ","AV. PERU S/N","2026-08-08"
"102115","GRIFO EL MAGNATE","ESTACIÓN DE SERVICIOS / GRIFOS","CAJAMARCA","CAJAMARCA","CAJAMARCA","CARRETERA CAJAMARCA-BAMBAMARCA KM 2.5 CASERIO SAN FRANCISCO","2026-08-09"
"102149","AVA","ESTACIÓN DE SERVICIOS / GRIFOS","ANCASH","CARHUAZ","TINCO","AUTOPISTA HUARAZ CARAZ KM. 235.30, PREDIO RURAL BUENOS AIRES, SECTOR TOMA","2026-08-07"
"102201","GRIFO MUNICHIS S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","LORETO","ALTO AMAZONAS","YURIMAGUAS","CALLE LIBERTAD N° 1117 - VILLA GALPOS","2026-08-07"
"102209","LK COMBUSTIBLES S. A. C","ESTACIÓN DE SERVICIOS / GRIFOS","ANCASH","CASMA","CASMA","CARRETERA PANAMERICANA NORTE KM 380+221.35 LOTES 1A Y B PREDIO EL CARMEN","2026-08-05"
"102272","CORPORACION MATAMOROS SOCIEDAD ANONIMA CERRADA","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","TAMBOPATA","TAMBOPATA","CARRETERA TRANSOCEANICA PUERTO MALDONADO  CUSCO KM. 04","2026-08-08"
"102300","DEL CARPIO COMPANY S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","MANU","HUEPETUHE","CALLE PRINCIPAL MZ. D, LOTE 02,NUEVA EXPANSION URBANA-PARTE ALTA.","2026-08-03"
"102301","VALENTIN RONALD DEL CARPIO GUZMAN","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","MANU","HUEPETUHE","CALLE PRINCIPAL MZ. D, LOTE 01,NUEVA EXPANSION URBANA -PARTE ALTA","2026-08-03"
"102332","INVERSIONES Y SERVICIOS EL OVALO S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","AMAZONAS","BAGUA","BAGUA","SUB LOTE E EL EDEN A2 - SECTOR LA CURVA","2026-08-08"
"102353","GRIFOS FLORES REFF S.A.C.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","JUNIN","HUANCAYO","CHILCA","CALLE REAL N° 1512 - CHILCA","2026-08-09"
"102381","ESTACION DE ENERGIAS EL CENTENARIO S.A.C","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","TACNA","TACNA","TACNA","PARQUE INDUSTRIAL MZ. G LTS. 5 Y 6 AV. JORGE BASADRE NORTE - CALLE 13","2026-08-09"
"102419","INDUSTRIAS RUBBER E.I.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","AREQUIPA","AREQUIPA","CHARACATO","CALLE YARABAMBA S/N","2026-08-07"
"102531","DON ANDRES QUILLY E.I.R.L","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","MANU","HUEPETUHE","CALLE PRINCIPAL MZ. A LOTE 07 NUEVA EXPANSION URBANA - PARTE ALTA","2026-08-06"
"102669","GUTIERREZ DELGADO CLAUDIO","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","MANU","HUEPETUHE","CALLE PRINCIPAL MZ. B L0TE 07 NUEVA EXPANSION URBANA - PARTE ALTA","2026-08-05"
"102685","ESTACION DE SERVICIOS CHALPON S.A.C.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LAMBAYEQUE","CHICLAYO","CHICLAYO","KM 2+350 VIA CHICLAYO-FERREÑAFE, MARGEN DERECHA UC 032 PREDIO CASA BLANCA","2026-08-09"
"102687","MARIA DEL PILAR ALCANTARA RIVERA","ESTACIÓN DE SERVICIOS / GRIFOS","LAMBAYEQUE","FERREÑAFE","PITIPO","CARRETERA FERREÑAFE BATANGRANDE KM 11+580, CASERÍO LA ZARANDA","2026-08-08"
"102728","GRIFOS COPACABANA","ESTACIÓN DE SERVICIOS / GRIFOS","PUNO","MELGAR","SANTA ROSA","CARRETERA PANAMERICANA KM. 179.5, PREDIO RÚSTICO SUYTU CANCHA","2026-08-08"
"102729","ESTACION DE SERVICIOS DOS DE MAYO S.A.C","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","TAMBOPATA","INAMBARI","VIA INTEROCEANICA SUR KM 319+355 SECTOR DOS DE MAYO-MAZUKO","2026-08-03"
"102879","GRIFO ALICIA E.I.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","MANU","HUEPETUHE","CALLE PRINCIPAL MZ. D LT. 04 NUEVA EXPANSION URBANA PARTE ALTA","2026-08-08"
"102990","ESCOH S.A.C.","EE.SS con GLP y GNV","ICA","ICA","ICA","AV. FERNANDO LEON DE VIVERO ESQ. PASAJE LOS ANGELES, SUB LOTE 4A","2026-08-08"
"103005","CARMEN LUISA RIVERA TRISTAN","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","TAMBOPATA","LABERINTO","KM. 06 DEL ACCESO A PUERTO ROSARIO DE LABERINTO (MARGEN IZQUIERDA)","2026-08-08"
"103045","GRIFO EL SALVADOR S.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","TAMBOPATA","LABERINTO","JR. EFRAIN LUNA MANZANA 2-LL LOTE 11","2026-08-07"
"103059","LUCINDA LLIMPE RODRIGUEZ","ESTACIÓN DE SERVICIOS / GRIFOS","HUANCAVELICA","ACOBAMBA","ACOBAMBA","JR LIMA S/N","2026-08-04"
"103094","SERVICIOS LOGISTICOS MONTERRILLO S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","SAN MARTIN","RIOJA","PARDO MIGUEL","CARRETERA FERNANDO BELAUNDE TERRY KM 415+380","2026-07-31"
"103103","TRANSENERGY COMPANY S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","LIMA","HUAURA","VEGUETA","CARRETERA PANAMERICANA NORTE, PARCELA 45A, SECTOR LA CHILAMPA","2026-08-08"
"103127","GRIFOS ESPINOZA S. A.","GASOCENTROS DE GLP","ANCASH","SANTA","CHIMBOTE","AV. VICTOR RAUL HAYA DE LA TORRE 1397 AA.HH. MIRAMAR ALTO MZ B, LOTE 24","2026-08-09"
"103141","ESTACION DE SERVICIOS SELVA EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","ESTACIÓN DE SERVICIOS / GRIFOS","JUNIN","SATIPO","PANGOA","LOTES 9 Y 10 DE LA MZ. G, INTERSECCIÓN DE LA AV. MARISCAL RAMÓN CASTILLA Y LA AV. FRAY ANTONIO ZEGARRA, CENTRO POBLADO DE SAN RAMON DE PANGOA","2026-08-07"
"103248","DVM ISAAC INVERSIONES S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","SAN MARTIN","MOYOBAMBA","MOYOBAMBA","JR. INDEPENDENCIA ESQUINA CON JR. APURIMAC","2026-08-08"
"103306","SERVICENTRO CAMPANA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA","ESTACIÓN DE SERVICIOS / GRIFOS","HUANUCO","AMBO","AMBO","CARRETERA LIMA - HUANUCO KM 204","2026-08-09"
"103317","GRIFO LOS OLIVOS E.I.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","AREQUIPA","CARAVELI","YAUCA","CARRETERA PANAMERICANA SUR KM 566","2026-08-05"
"103368","SERVICENTRO SAN FRANCISCO E.I.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","TAMBOPATA","LABERINTO","KM. 06 CARRETERA DE ACCESO SANTO DOMINGO-LABERINTO","2026-08-08"
"103375","INVERSIONES Y ASOCIADOS RHL   S.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","APURIMAC","COTABAMBAS","CHALLHUAHUACHO","AV. CHALLHUAHUACHO - PROGRESO MZ. X1 LOTE 5, ESQUINA CALLE 25","2026-08-05"
"103389","ESTACION DE SERVICIOS RUBY & B.K. S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","ANCASH","CASMA","CASMA","AV. JULIO C. TELLO ESQUINA CON CALLE MIGUEL GRAU MZ. E-3 LOTES 1 Y 2, AA.HH. VILLA HERMOSA","2026-08-07"
"103481","JUSTO QUISPE QUISPE","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","MANU","HUEPETUHE","CARRETERA PUNKIRI  HUEPETUHE, FUNDO VISTA ALEGRE KM. 15+000","2026-08-07"
"103620","CESAR EMILIO MACEDO MAMANI","ESTACIÓN DE SERVICIOS / GRIFOS","PUNO","SANDIA","CUYOCUYO","AV RAMON CASTILLA S/N","2026-08-08"
"103639","PERUPETROLM MULTISERVICIOS SOCIEDAD ANONIMAC CERRADA - PERUPETROLM S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","APURIMAC","COTABAMBAS","CHALLHUAHUACHO","INTERSECCION DE LA AV. LOS ALAMOS Y LA AV. 18 DE NOVIEMBRE ASOCIACION DE VIVIENDA LOS ALAMOS","2026-08-07"
"103658","ESTACION DE SERVICIOS SANROQUE SAC","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LAMBAYEQUE","CHICLAYO","PIMENTEL","CARRETERA CHICLAYO-PIMENTEL KM 4.5 -SECTOR LA GARITA","2026-08-07"
"103744","ROCIO CORI VILCA","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","MANU","HUEPETUHE","CALLE PRINCIPAL CON CALLE S/N CENTRO POBLADO MENOR CHOQUE","2026-08-07"
"103766","ESTACION DE SERVICIOS SAGITARIO S.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","CUSCO","QUISPICANCHI","LUCRE","CARRETERA CUSCO-URCOS KM 37 SECTOR SUMAC TTICA-TONGOBAMBA","2026-08-05"
"103814","GRIFO TUMAN S.A.C","ESTACIÓN DE SERVICIOS / GRIFOS","LAMBAYEQUE","CHICLAYO","TUMAN","CARRETERA CHICLAYO - CHONGOYAPE KM 32 (FRENTE AL CEMENTERIO), SECTOR CAMPO EL TORO","2026-07-21"
"103866","ESTACION DE SERVICIOS NEYKAR E.I.R.L.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","CUSCO","LA CONVENCION","PICHARI","CARRETERA PICHARI-NATIVIDAD KM. 1.65 - PICHARI ALTO","2026-08-04"
"103881","SERVICENTROS MARIELENA S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","LA LIBERTAD","SANCHEZ CARRION","HUAMACHUCO","PARCELA LA CUCHILLA - CASERIO SHIRACMACA, CARRETERA HUAMACHUCO - RETAMAS (CARRETERA HUAMACHUCO - CAJABAMBA KM 0 + 808, SECTOR LA CUCHILLA)","2026-08-07"
"103900","SERVICENTRO MAYARA E.I.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","MANU","MADRE DE DIOS","CARRETERA PONAL-SAN JUAN GRANDE KM 19+900  MARGEN DERECHA","2026-08-07"
"103914","ROSA JUANA LLAURY VILLANUEVA","ESTACIÓN DE SERVICIOS / GRIFOS","LA LIBERTAD","SANCHEZ CARRION","HUAMACHUCO","AV. ANTONIO SALAZAR S/N KM. 12 CARRETERA HUAMACHUCO-CAJABAMBA, CASERIO LAGUNA SAUSACOCHA","2026-08-06"
"103952","GRIFO JUAN DE DIOS I.C.R. EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","ESTACIÓN DE SERVICIOS / GRIFOS","ANCASH","CASMA","COMANDANTE NOEL","AV. JUAN VELASCO ALVARADO S/N, MZ. LL LOTE 02, AA.HH. MIGUEL GRAU, BARRIO PIURA (PUERTO DE CASMA)","2026-08-03"
"103957","CORPORACION CAMILFER EIRL","ESTACIÓN DE SERVICIOS / GRIFOS","JUNIN","SATIPO","MAZAMARI","CARRETERA MARGINAL MZ 8 LOTE 10","2026-08-08"
"104012","SERVICIOS MULTIPLES JHAMSUR S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","AYACUCHO","PARINACOCHAS","PUYUSCA","INTERSECCION AV SAN ISIDRO S/N CON JR LIMA","2026-08-04"
"104033","INVERSIONES PETROLUZ S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","JUNIN","CHANCHAMAYO","PERENE","AV. ESPERANZA - SECTOR SANTA INES MZ. A LOT.13,14 Y 15","2026-08-08"
