"codigo_osinerg","razon_social","actividad","departamento","provincia","distrito","direccion","fecha_reporte"
"96643","CORPORACION PERUANA DE INVERSIONES Y PRODUCCION S.A.","ESTACIÓN DE SERVICIOS / GRIFOS","ANCASH","HUAYLAS","CARAZ","CARRETERA CENTRAL ESQUINA CON CALLE DANIEL VILLAR MZ. T, SUBLOTE 4A - YANACACHA","2026-08-06"
"96646","SERVICENTRO LA INMACULADA E.I.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","LIMA","LIMA","CHORRILLOS","ESQUINA AV. CORDILLERA NEGRA Y JR. VOLCAN COROPUNA MZ. E-13, LT. 5, URB. LAS DELICIAS DE VILLA","2026-08-07"
"9666","GRIFO LOS AMIGOS S.R.L","ESTACIÓN DE SERVICIOS / GRIFOS","PUNO","SAN ROMAN","JULIACA","JR. 8 DE NOVIEMBRE N° 990","2026-08-08"
"96681","EMPRESA DE SERVICIOS Y TRANSPORTES EL NEGRO E.I.R.L.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LIMA","LIMA","ATE","MZ. A LOTES 1, 2, 3, 4, 5 Y 6 DEL PROGRAMA DE VIVIENDA Y COMERCIO LAS PRADERAS DE PARIACHI","2026-08-09"
"96771","NEGOCIACIONES ESTACION DE SERVICIOS SANTA ROSA II S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","CUSCO","LA CONVENCION","PICHARI","PROLONGACION DE LA AV. LA CULTURA S/N CARRETERA PICHARI - JATUN RUMI","2026-08-04"
"96778","WARI SERVICE SAC","ESTACIÓN DE SERVICIOS / GRIFOS","ICA","NAZCA","NAZCA","CARRETERA PANAMERICANA SUR KM 447, SECTOR CURVE, PARCELA 23","2026-08-08"
"96814","SERVICENTRO ARAGON S.R.L","ESTACIÓN DE SERVICIOS / GRIFOS","CUSCO","CALCA","PISAC","PROLONGACION AV. AMAZONAS S/N - SECTOR ERAPAMPA","2026-08-08"
"96869","GRIFOSA SAC","EE.SS con GLP y GNV","LIMA","CAÑETE","MALA","CARRETERA PANAMERICANA SUR KM. 86.5","2026-08-08"
"96884","GLOBAL FUEL S.A","ESTACIÓN DE SERVICIOS / GRIFOS","CAJAMARCA","CAJAMARCA","CAJAMARCA","JR. ANGAMOS ESQUINA CON JR. 13 DE JULIO","2026-08-07"
"96912","GRIFO SARAYACU S.R.L","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","TAMBOPATA","INAMBARI","FRACCIÓN DE LA PARCELA N° 5  PROYECTO DE ADJUDICACIÓN SARAYACU, CARRETERA CARROZABLE A SARAYACU","2026-08-07"
"96929","ESTACION DE SERVICIOS LEONOR S.A.C. ","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","ICA","NAZCA","VISTA ALEGRE","CARRETERA PANAMERICANA SUR KM 446 ESQ CON AV SIN NOMBRE SECTOR PANGARAVI BAJO","2026-08-07"
"96935","GRIFOS ESPINOZA S.A.","EE.SS con GLP y GNV","LIMA","HUAURA","SANTA MARIA","SECTOR AGUA DULCE - LOTE 01","2026-08-09"
"96937","MULTISERVICIOS ECOGAS S.A.C.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","ICA","CHINCHA","CHINCHA ALTA","AV. GERARDO SOTELO Nº 490","2026-08-06"
"97017","GRIFO SEOR DE SIPAN  E.I.R.L","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LAMBAYEQUE","CHICLAYO","CHICLAYO","CARRETERA CHICLAYO - POMALCA KM 3.5","2026-08-09"
"97022","LUBRICANTES Y MAQUINARIAS LUMA S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","LORETO","MAYNAS","SAN JUAN BAUTISTA","CALLE 1 ESQUINA CON CALLE 6, CARRETERA IQUITOS-NAUTA KM. 2.5","2026-08-08"
"97026","SILVA MENDOZA LLEYSTEN MAYCOL","ESTACIÓN DE SERVICIOS / GRIFOS","SAN MARTIN","RIOJA","NUEVA CAJAMARCA","ESQUINA JR. RICARDO PALMA CON JR. COMERCIO CDRA. 11.","2026-08-08"
"97051","ESTACIONES DE SERVICIOS HIDRO PERÚ S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","LORETO","ALTO AMAZONAS","YURIMAGUAS","CALLE 15 DE AGOSTO S/N ESQUINA CON CALLE JOSE CARLOS BECERRA PINTO","2026-08-07"
"97067","CORPORACION CASAVERDE-ROCA EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","ESTACIÓN DE SERVICIOS / GRIFOS","CUSCO","LA CONVENCION","PICHARI","PROLONGACION AV. LA CULTURA S/N","2026-08-08"
"97088","FUEL OASIS E.I.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","LAMBAYEQUE","LAMBAYEQUE","MOCHUMI","CALLE PROLONGACION SAN MARTIN NRO. 121","2026-08-04"
"97126","INVERSIONES MACONMIN S.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","CUSCO","ESPINAR","ESPINAR","LOTE N°8, MZ. M-1, PPJJ. ANTAPAMPA","2026-08-05"
