codigo_siniestro,codigo_vehiculo,departamento,provincia,distrito,situacionvehiculo,estado_modalidad,modalidad_de_transporte,elemento_transportado,ambito_servicio,posee_seguro,estado_soat,tipo_seguro,compania_seguro,posee_citv,estado_citv,vehiculo,tipo_siniestro,fecha,ano,mes,dia,hora,codigo_de_carretera,tipo_de_via
A-2023-10-11,V-2023-10-11-2,CALLAO,CALLAO,CALLAO,IDENTIFICADO,HABILITADO,PUBLICO URBANO,PERSONAS,REGIONAL,SI,VIGENTE,SOAT,LA POSITIVA,SI,VIGENTE,CAMIONETA RURAL,ATROPELLO,14/10/2023,2023,OCTUBRE,SÁBADO,4,PE-20,CARRETERA
A-2023-10-108,V-2023-10-108-1,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,INTERSEGURO,SI,VENCIDO,AUTOMÓVIL,ATROPELLO,15/10/2023,2023,OCTUBRE,DOMINGO,7,NO CORRESPONDE,AVENIDA
A-2023-10-109,V-2023-10-109-1,LIMA,LIMA,LINCE,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,INTERSEGURO,SI,VIGENTE,AUTOMÓVIL,ATROPELLO,15/10/2023,2023,OCTUBRE,DOMINGO,11,NO CORRESPONDE,AVENIDA
A-2023-10-112,V-2023-10-112-1,LIMA,LIMA,SANTIAGO DE SURCO,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,INTERSEGURO,SI,VIGENTE,AUTOMÓVIL,CHOQUE,15/10/2023,2023,OCTUBRE,DOMINGO,20,NO CORRESPONDE,AVENIDA
A-2023-10-112,V-2023-10-112-2,LIMA,LIMA,SANTIAGO DE SURCO,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,LA POSITIVA,NO,NO REGISTRA,MOTOCICLETA,CHOQUE,15/10/2023,2023,OCTUBRE,DOMINGO,20,NO CORRESPONDE,AVENIDA
A-2023-10-111,V-2023-10-111-1,LIMA,LIMA,CHACLACAYO,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,RIMAC,SI,VIGENTE,AUTOMÓVIL,DESPISTE,15/10/2023,2023,OCTUBRE,DOMINGO,21,NO CORRESPONDE,AVENIDA
A-2023-10-113,V-2023-10-113-1,LIMA,LIMA,ANCON,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,RIMAC,SI,VIGENTE,AUTOMÓVIL,ATROPELLO,16/10/2023,2023,OCTUBRE,LUNES,10,PE-1N,CARRETERA
A-2023-10-114,V-2023-10-114-1,LIMA,LIMA,VILLA EL SALVADOR,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,INTERSEGURO,SI,VIGENTE,CAMIONETA PICK UP,ATROPELLO,16/10/2023,2023,OCTUBRE,LUNES,12,NO CORRESPONDE,CALLE
A-2023-10-115,V-2023-10-115-1,LIMA,LIMA,SAN JUAN DE LURIGANCHO,IDENTIFICADO,NO HABILITADO,PUBLICO URBANO,PERSONAS,PROVINCIAL,NO,NO REGISTRA,,,SI,VENCIDO,CAMIONETA RURAL,DESPISTE,18/10/2023,2023,OCTUBRE,MIÉRCOLES,7,NO CORRESPONDE,AVENIDA
A-2023-10-116,V-2023-10-116-1,LIMA,LIMA,LA MOLINA,FUGADO,NO CORRESPONDE,NO CORRESPONDE,PERSONAS,,NO CORRESPONDE,NO APLICA,,,NO CORRESPONDE,NO APLICA,VEHICULO NO IDENTIFICADO,ATROPELLO FUGA,18/10/2023,2023,OCTUBRE,MIÉRCOLES,19,PE-1S,CARRETERA
A-2023-10-139,V-2023-10-139-1,CALLAO,CALLAO,CALLAO,IDENTIFICADO,HABILITADO,PARTICULAR,PERSONAS,NO SE CONOCE,NO ESPECIFICA,NO REGISTRA,,,NO ESPECIFICA,NO REGISTRA,MOTOCICLETA,CHOQUE,18/10/2023,2023,OCTUBRE,MIÉRCOLES,20,NO CORRESPONDE,AVENIDA
A-2023-10-139,V-2023-10-139-2,CALLAO,CALLAO,CALLAO,ESTACIONADO,HABILITADO,PARTICULAR,PERSONAS,NO SE CONOCE,NO ESPECIFICA,NO REGISTRA,,,NO ESPECIFICA,NO REGISTRA,REMOLCADOR-SEMIREMOLQUE,CHOQUE,18/10/2023,2023,OCTUBRE,MIÉRCOLES,20,NO CORRESPONDE,AVENIDA
A-2023-10-117,V-2023-10-117-1,LIMA,LIMA,INDEPENDENCIA,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,LA POSITIVA,NO,NO REGISTRA,MOTOCICLETA,DESPISTE,19/10/2023,2023,OCTUBRE,JUEVES,6,PE-1N,CARRETERA
A-2023-10-118,V-2023-10-118-1,LIMA,LIMA,COMAS,IDENTIFICADO,NO CORRESPONDE,NO CORRESPONDE,PERSONAS,NO SE CONOCE,NO CORRESPONDE,NO APLICA,,,NO CORRESPONDE,NO APLICA,SCOOTER,VOLCADURA,21/10/2023,2023,OCTUBRE,SÁBADO,17,NO CORRESPONDE,AVENIDA
A-2023-10-119,V-2023-10-119-1,LIMA,LIMA,SAN MARTIN DE PORRES,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,LA POSITIVA,NO,NO REGISTRA,MOTOCICLETA,DESPISTE,22/10/2023,2023,OCTUBRE,DOMINGO,2,NO CORRESPONDE,AVENIDA
A-2023-10-120,V-2023-10-120-1,LIMA,LIMA,PUNTA NEGRA,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,LA POSITIVA,NO,NO REGISTRA,MOTOCICLETA,DESPISTE,22/10/2023,2023,OCTUBRE,DOMINGO,5,PE-1S,CARRETERA
