codigo_siniestro,fecha_siniestro,hora_siniestro,clase_siniestro,cantidad_de_fallecidos,cantidad_de_lesionados,cantidad_de_vehiculos_danados,departamento,provincia,distrito,zona,tipo_de_via,red_vial,cod_carretera,coordenadas_latitud,coordenadas_longitud,condicionclimatica,zonificacion,caracteristicas_de_via,perfil_longitudinal_via,superficie_de_calzada,existe_senal_vertical,clasificacionde_la_senal_vertical_no_1,clasificacionde_la_senal_vertical_no_2,existe_senal_horizontal,causa_factor_principal,causa_especifica
A-2021-01-248,2021-01-01,05:45,DESPISTE,1,3,0.0,LIMA,LIMA,PACHACAMAC,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.2294,-76.859412,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-254,2021-01-01,14:00,ATROPELLO,1,1,0.0,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.164406,-76.953426,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-258,2021-01-03,00:35,ATROPELLO FUGA,1,0,0.0,LIMA,LIMA,VILLA EL SALVADOR,URBANA,CARRETERA,NACIONAL,PE-1S,-12.225604,-76.971698,SOLEADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-01-260,2021-01-04,01:35,ATROPELLO,1,0,0.0,LIMA,LIMA,ATE,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.026010259318932,-76.91912179578782,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2021-01-262,2021-01-06,20:40,CHOQUE,2,0,0.0,LIMA,LIMA,CHORRILLOS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.173039,-76.995706,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-264,2021-01-09,10:00,DESPISTE,1,0,0.0,LIMA,LIMA,SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.980617,-77.012747,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR)
A-2021-01-265,2021-01-11,09:20,DESPISTE,1,0,0.0,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.1622,-76.943612,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-01-267,2021-01-14,01:10,VOLCADURA,1,0,,LIMA,LIMA,LURIN,URBANA,OTRO,URBANO,NO CORRESPONDE,-12.252695,-76.898016,DESPEJADO,COMERCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-01-266,2021-01-14,06:00,ATROPELLO,1,0,,LIMA,LIMA,SANTA ANITA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.0436,-76.971412,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-01-269,2021-01-16,18:30,DESPISTE,1,1,0.0,LIMA,LIMA,COMAS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.9575,-77.049211,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-01-392,2021-01-16,19:45,ATROPELLO,1,1,1.0,CALLAO,CALLAO,LA PERLA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.064691074671408,-77.11554660204865,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-01-129,2021-01-17,08:00,CAÍDA DE PASAJERO,1,0,0.0,CALLAO,CALLAO,CALLAO,URBANA,CARRETERA,NACIONAL,PE-20,-12.05437213181773,-77.14261674714892,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,OTRO (IMPRUDENCIA DEL PEATÓN)
A-2021-01-270,2021-01-19,09:30,CHOQUE,1,4,,LIMA,LIMA,LURIGANCHO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.017421,-76.946914,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2021-01-271,2021-01-23,13:00,ATROPELLO,1,0,,LIMA,LIMA,LOS OLIVOS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.991702,-77.070611,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-01-272,2021-01-23,17:35,ATROPELLO,1,0,0.0,LIMA,LIMA,PUENTE PIEDRA,URBANA,CARRETERA,NACIONAL,PE-1N,-11.897187,-77.067866,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-01-195,2021-01-24,20:10,DESPISTE,1,0,,CALLAO,CALLAO,VENTANILLA,URBANA,CARRETERA,NACIONAL,PE-20,-11.881892360721375,-77.12626527470516,DESPEJADO,RESIDENCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-01-273,2021-01-25,08:00,ATROPELLO FUGA,1,0,,LIMA,LIMA,SAN MARTIN DE PORRES,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.9815573,-77.096882,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,OTRO (IMPRUDENCIA DEL PEATÓN)
A-2021-01-274,2021-01-25,11:30,CHOQUE,1,1,,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.163841,-76.952571,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR)
A-2021-01-381,2021-01-26,06:50,ATROPELLO,1,0,0.0,LIMA,LIMA,SAN MARTIN DE PORRES,URBANA,JIRÓN,URBANO,NO CORRESPONDE,-12.018966,-77.053367,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-01-282,2021-01-28,05:00,CHOQUE FUGA,1,1,,LIMA,LIMA,COMAS,RURAL,CARRETERA,NACIONAL,PE-1N,-11.932369,-77.072179,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2021-01-284,2021-01-28,17:20,CHOQUE,1,0,0.0,LIMA,LIMA,CARABAYLLO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.89,-77.02691153,DESPEJADO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-01-288,2021-01-29,10:14,CHOQUE,1,0,,LIMA,LIMA,SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.02939938288795,-77.01008051633836,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2021-01-356,2021-01-30,00:10,ATROPELLO FUGA,1,0,0.0,LIMA,LIMA,LURIGANCHO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.987377,-76.897774,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-01-391,2021-01-30,21:10,CHOQUE,1,1,2.0,CALLAO,CALLAO,CALLAO,URBANA,CARRETERA,NACIONAL,PE-20B,-12.033276606846124,-77.10028573127246,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,CONCRETO,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-02-248,2021-02-01,04:47,CHOQUE,1,0,,LIMA,LIMA,SAN ISIDRO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.09219,-77.032178,DESPEJADO,RESIDENCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,NEGLIGENCIA DEL CONDUCTOR,CONDUCIR CON FALLAS DE DIRECCIÓN
A-2021-02-251,2021-02-01,07:10,CHOQUE,1,0,,LIMA,LIMA,COMAS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.937625632516268,-77.07126170396806,DESPEJADO,RESIDENCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-02-124,2021-02-08,11:30,CHOQUE,1,0,1.0,LIMA,LIMA,SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.025888,-76.98613,DESPEJADO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-02-127,2021-02-08,15:40,ATROPELLO,1,0,1.0,LIMA,LIMA,EL AGUSTINO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.029121,-76.99979,DESPEJADO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,REGULADORA (R),,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-02-249,2021-02-09,20:00,ATROPELLO,1,0,0.0,LIMA,LIMA,SAN JUAN DE MIRAFLORES,URBANA,CARRETERA,NACIONAL,PE-1S,-12.156762275040451,-76.98325306177139,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-02-250,2021-02-09,21:12,DESPISTE,1,0,,LIMA,LIMA,LA VICTORIA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.076163677993936,-77.02763028722859,DESPEJADO,RESIDENCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-02-254,2021-02-10,13:00,CHOQUE,1,0,0.0,LIMA,LIMA,SURQUILLO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.117716928281103,-77.00858920812608,DESPEJADO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,IMPERICIA DEL CONDUCTOR,
A-2021-02-252,2021-02-10,15:30,DESPISTE,1,0,1.0,LIMA,LIMA,LURIN,URBANA,CARRETERA,NACIONAL,PE-1S,-12.290935854275048,-76.86632484197618,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-02-253,2021-02-10,16:15,ATROPELLO,1,0,1.0,LIMA,LIMA,SAN LUIS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.081299174313552,-76.99488312005998,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,USO DE DISPOSITIVOS MÓVILES Y/O ELECTRÓNICOS
A-2021-02-255,2021-02-12,07:15,ATROPELLO,1,0,0.0,LIMA,LIMA,SAN MARTIN DE PORRES,URBANA,CARRETERA,NACIONAL,PE-20F,-11.954708647868603,-77.08510190248491,DESPEJADO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-02-244,2021-02-12,11:50,CHOQUE,1,0,1.0,CALLAO,CALLAO,CALLAO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.055772845365071,-77.12188849777318,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR)
A-2021-02-258,2021-02-13,08:00,ATROPELLO,1,0,0.0,LIMA,LIMA,EL AGUSTINO,URBANA,CARRETERA,NACIONAL,PE-1N,-12.030233594117089,-76.99354463022675,DESPEJADO,RESIDENCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-02-256,2021-02-13,17:20,CHOQUE,1,2,,LIMA,LIMA,VILLA EL SALVADOR,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.199057991412102,-76.94201409816743,DESPEJADO,RESIDENCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-02-259,2021-02-13,18:50,VOLCADURA,1,0,0.0,LIMA,LIMA,MIRAFLORES,URBANA,CALLE,URBANO,NO CORRESPONDE,-12.116940683422827,-77.03471392393112,DESPEJADO,RESIDENCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-02-257,2021-02-13,20:40,ATROPELLO FUGA,1,0,0.0,LIMA,LIMA,CARABAYLLO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.861366118567192,-77.05357243780493,DESPEJADO,INDUSTRIAL,INTERSECCIÓN,PLANA ,ASFALTADA,NO,,,NO,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA
A-2021-02-261,2021-02-16,08:00,CHOQUE,1,0,0.0,LIMA,LIMA,LIMA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.07343065154641,-77.0361972507521,DESPEJADO,RESIDENCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-02-260,2021-02-16,18:30,CHOQUE,1,0,,LIMA,LIMA,LINCE,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.08513,-77.04855,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2021-02-262,2021-02-17,11:30,ATROPELLO,1,0,0.0,LIMA,LIMA,RIMAC,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.026901980340384,-77.04017210949648,DESPEJADO,RESIDENCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,DESACATO DE SEÑAL DE TRÁNSITO
A-2021-02-264,2021-02-18,15:25,CHOQUE CON OBJETO FIJO,1,3,,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,RURAL,CALLE,URBANO,NO CORRESPONDE,-12.14029,-76.9112,DESPEJADO,RURAL,PASE A DESNIVEL,INCLINADA,AFIRMADO,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-02-263,2021-02-18,18:00,ATROPELLO FUGA,1,0,0.0,LIMA,LIMA,RIMAC,URBANA,CARRETERA,NACIONAL,PE-1N,-12.043103204032894,-77.02317771163345,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-02-235,2021-02-19,08:30,CHOQUE,1,0,1.0,CALLAO,CALLAO,CALLAO,URBANA,CARRETERA,NACIONAL,PE-20,-11.959804478406474,-77.12836781252078,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,CONCRETO,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-02-265,2021-02-19,20:20,ATROPELLO,2,0,0.0,LIMA,LIMA,LIMA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.061018898523397,-77.01281365599989,DESPEJADO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-02-237,2021-02-21,21:40,CHOQUE CON OBJETO FIJO,1,0,0.0,LIMA,LIMA,MAGDALENA DEL MAR,URBANA,OTRO,URBANO,NO CORRESPONDE,-12.096810104208997,-77.0752579074752,SOLEADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-02-266,2021-02-22,07:30,VOLCADURA,1,0,0.0,LIMA,LIMA,INDEPENDENCIA,URBANA,CARRETERA,NACIONAL,PE-1N,-11.988294226428462,-77.06414607991313,DESPEJADO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-02-236,2021-02-23,17:00,DESPISTE,1,0,1.0,CALLAO,CALLAO,CALLAO,URBANA,CARRETERA,NACIONAL,PE-20I,-12.050285363986184,-77.11806391190329,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,CONCRETO,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-02-267,2021-02-23,21:00,ATROPELLO FUGA,1,0,0.0,LIMA,LIMA,SANTA ANITA,URBANA,CARRETERA,NACIONAL,PE-1N,-12.057,-76.974,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-02-268,2021-02-24,08:30,CHOQUE,1,0,2.0,LIMA,LIMA,RIMAC,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.034806871808192,-77.02985840706565,DESPEJADO,RESIDENCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-02-269,2021-02-26,07:30,ATROPELLO,1,0,0.0,LIMA,LIMA,SAN JUAN DE MIRAFLORES,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.162491,-76.962732,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2021-02-270,2021-02-27,12:30,ATROPELLO,1,0,0.0,LIMA,LIMA,EL AGUSTINO,URBANA,CARRETERA,NACIONAL,PE-1N,-12.032477409451634,-76.99107365892452,SOLEADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-02-271,2021-02-27,22:30,DESPISTE,1,0,1.0,LIMA,LIMA,CARABAYLLO,URBANA,JIRÓN,URBANO,NO CORRESPONDE,-11.889978,-77.02457,DESPEJADO,RESIDENCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-03-69,2021-03-01,08:00,CAÍDA DE PASAJERO,1,0,0.0,LIMA,LIMA,INDEPENDENCIA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.9969,-77.0544,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-03-170,2021-03-03,18:00,ATROPELLO,1,0,1.0,LIMA,LIMA,SAN JUAN DE LURIGANCHO,URBANA,CARRETERA,SIN CLASIFICAR,SIN CLASIFICAR,-11.960103612746728,-76.98185596768646,DESPEJADO,RESIDENCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,OTRO (IMPRUDENCIA DEL PEATÓN)
A-2021-03-171,2021-03-04,20:40,VOLCADURA,1,0,1.0,LIMA,LIMA,SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.961697,-76.982522,DESPEJADO,RURAL,SINUOSA,INCLINADA,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-03-175,2021-03-05,00:30,DESPISTE,1,0,1.0,LIMA,LIMA,SAN MARTIN DE PORRES,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.031772,-77.077474,DESPEJADO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,INFRAESTRUCTURA Y ENTORNO VIAL,OTRO (INFRAESTRUCTURA Y ENTORNO VIAL)
A-2021-03-352,2021-03-05,19:00,ATROPELLO,1,0,0.0,LIMA,LIMA,LIMA,URBANA,JIRÓN,URBANO,NO CORRESPONDE,-12.050964,-77.039908,DESPEJADO,RESIDENCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,SI,PREVENTIVA (P),,NO,IMPRUDENCIA DEL PEATÓN,ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
A-2021-03-201,2021-03-05,21:30,ATROPELLO,1,0,1.0,LIMA,LIMA,SAN JUAN DE MIRAFLORES,URBANA,CARRETERA,NACIONAL,PE-1S,-12.185667,-76.974538,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2021-03-202,2021-03-06,03:50,ATROPELLO,3,0,,LIMA,LIMA,COMAS,URBANA,CARRETERA,NACIONAL,PE-1N,-11.939114,-77.071492,DESPEJADO,RESIDENCIAL,OTRO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2021-03-349,2021-03-07,12:30,CHOQUE CON OBJETO FIJO,1,0,1.0,LIMA,LIMA,SANTA ROSA,URBANA,CARRETERA,NACIONAL,PE-1N,-11.790793427187957,-77.14873099633672,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2021-03-218,2021-03-11,17:40,CHOQUE CON OBJETO FIJO,1,0,1.0,LIMA,LIMA,PUENTE PIEDRA,URBANA,CARRETERA,NACIONAL,PE-1N,-11.91275,-77.07335,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-03-221,2021-03-12,16:00,ATROPELLO,1,0,1.0,LIMA,LIMA,PUEBLO LIBRE,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.08142,-77.05889,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-03-346,2021-03-14,03:00,ATROPELLO FUGA,1,0,1.0,LIMA,LIMA,COMAS,URBANA,CARRETERA,NACIONAL,PE-1N,-11.946883,-77.070858,DESPEJADO,RESIDENCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-03-228,2021-03-16,16:00,ATROPELLO FUGA,1,0,1.0,LIMA,LIMA,INDEPENDENCIA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.00466,-77.06125,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-03-311,2021-03-16,17:30,ATROPELLO,1,1,1.0,CALLAO,CALLAO,CALLAO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.0474209170896,-77.08599033016722,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,CONCRETO,,,,,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA
A-2021-03-230,2021-03-17,10:30,ATROPELLO,1,0,1.0,LIMA,LIMA,SAN MARTIN DE PORRES,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.03756,-77.04597,SOLEADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,OTRO (IMPRUDENCIA DEL PEATÓN)
A-2021-03-233,2021-03-17,17:00,VOLCADURA,1,0,1.0,LIMA,LIMA,PUNTA NEGRA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.38028,-76.78787,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2021-03-236,2021-03-19,08:40,DESPISTE,1,0,1.0,LIMA,LIMA,SANTIAGO DE SURCO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.13744,-77.01514,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD
A-2021-03-237,2021-03-20,07:00,ATROPELLO,1,0,1.0,LIMA,LIMA,SAN MARTIN DE PORRES,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.00624,-77.0827,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
A-2021-03-238,2021-03-20,14:10,CHOQUE,1,0,1.0,LIMA,LIMA,EL AGUSTINO,URBANA,CARRETERA,NACIONAL,PE-1N,-12.0427,-76.98674,DESPEJADO,RURAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
