codigo_siniestro,codigo_vehiculo,codigo_persona,departamento,provincia,distrito,tipo_persona,gravedad,lugar_atencionlesionado,lugar_de_defuncion,situacionde_persona,pais_de_nacionalidad,edad,sexo,posee_licencia,estado_licencia,clase_licencia,se_sometio_a_dosaje_etilico_cualitativo,resultado_del_dosaje_etilico_cualitativo,se_sometio_a_dosaje_etilico_cuantitativo,vehiculo,fecha,ano,mes,dia,hora,clase_de_siniestro,causa,causa_especifica,tipo_de_via,codigo_de_carretera,red_vial
A-2021-08-231,V-2021-08-231-1,P-2021-08-231-1-2,LIMA,LIMA,VILLA EL SALVADOR,PEATÓN,FALLECIDO,,EN EL LUGAR DE LOS HECHOS,IDENTIFICADO,PERÚ,87,MASCULINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,CAMIÓN,10/08/2021,2021,AGOSTO,MARTES,7,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-232,V-2021-08-232-1,P-2021-08-232-1-1,LIMA,LIMA,CHORRILLOS,CONDUCTOR,ILESO,,,IDENTIFICADO,PERÚ,35,MASCULINO,NO,VIGENTE,A III C,NO,,NO,CAMIÓN,10/08/2021,2021,AGOSTO,MARTES,7,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-232,V-2021-08-232-1,P-2021-08-232-1-2,LIMA,LIMA,CHORRILLOS,PEATÓN,FALLECIDO,,EN EL CENTRO DE SALUD,IDENTIFICADO,PERÚ,64,MASCULINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,CAMIÓN,10/08/2021,2021,AGOSTO,MARTES,7,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-234,V-2021-08-234-1,P-2021-08-234-1-1,LIMA,LIMA,COMAS,CONDUCTOR,FALLECIDO,,EN EL LUGAR DE LOS HECHOS,IDENTIFICADO,PERÚ,,MASCULINO,,SIN LICENCIA,SIN LICENCIA,SI,NEGATIVO,NO,MOTOCICLETA,11/08/2021,2021,AGOSTO,MIÉRCOLES,9,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,JIRÓN,NO CORRESPONDE,URBANO
A-2021-08-234,V-2021-08-234-2,P-2021-08-234-2-1,LIMA,LIMA,COMAS,CONDUCTOR,ILESO,,,IDENTIFICADO,PERÚ,,MASCULINO,,SIN DNI IDENTIFICADO,SIN DNI IDENTIFICADO,SI,NEGATIVO,NO,TRIMOTO CARGA,11/08/2021,2021,AGOSTO,MIÉRCOLES,9,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,JIRÓN,NO CORRESPONDE,URBANO
A-2021-08-235,V-2021-08-235-1,P-2021-08-235-1-1,LIMA,LIMA,LOS OLIVOS,CONDUCTOR,ILESO,,,IDENTIFICADO,PERÚ,47,MASCULINO,NO,VIGENTE,A III C,NO,,NO,ÓMNIBUS,13/08/2021,2021,AGOSTO,VIERNES,9,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-235,V-2021-08-235-1,P-2021-08-235-1-2,LIMA,LIMA,LOS OLIVOS,PEATÓN,FALLECIDO,,EN EL CENTRO DE SALUD,IDENTIFICADO,PERÚ,79,MASCULINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,ÓMNIBUS,13/08/2021,2021,AGOSTO,VIERNES,9,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-236,V-2021-08-236-1,P-2021-08-236-1-1,LIMA,LIMA,VILLA EL SALVADOR,CONDUCTOR,ILESO,,,IDENTIFICADO,PERÚ,66,MASCULINO,NO,VIGENTE,A I,NO,,NO,OTRO,13/08/2021,2021,AGOSTO,VIERNES,16,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,OTRO,NO CORRESPONDE,URBANO
A-2021-08-236,V-2021-08-236-1,P-2021-08-236-1-2,LIMA,LIMA,VILLA EL SALVADOR,PEATÓN,FALLECIDO,,EN EL LUGAR DE LOS HECHOS,IDENTIFICADO,PERÚ,3,MASCULINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,OTRO,13/08/2021,2021,AGOSTO,VIERNES,16,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,OTRO,NO CORRESPONDE,URBANO
A-2021-08-237,V-2021-08-237-1,P-2021-08-237-1-1,LIMA,LIMA,COMAS,CONDUCTOR,ILESO,,,IDENTIFICADO,PERÚ,30,MASCULINO,NO,SIN DNI IDENTIFICADO,SIN DNI IDENTIFICADO,,,NO,CAMIÓN,14/08/2021,2021,AGOSTO,SÁBADO,15,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,AVENIDA,NO CORRESPONDE,URBANO
