listing_id;2018;2019
13188;23.0;68.0
13358;79.0;48.0
16254;3.0;2.0
17765;44.0;23.0
18270;1.0;1.0
18589;58.0;65.0
18795;15.0;21.0
20085;1.0;2.0
24273;5.0;6.0
33150;4.0;8.0
35304;51.0;51.0
77157;115.0;82.0
98830;48.0;28.0
134688;1.0;1.0
140698;18.0;17.0
172827;3.0;4.0
182451;12.0;1.0
196722;2.0;3.0
254657;22.0;13.0
256178;2.0;2.0
311354;2.0;3.0
322824;5.0;5.0
359942;5.0;3.0
377706;23.0;3.0
415700;41.0;37.0
436032;18.0;15.0
461370;2.0;4.0
461386;5.0;4.0
475296;27.0;43.0
496298;5.0;3.0
498112;4.0;5.0
540348;8.0;7.0
557357;3.0;1.0
622217;5.0;29.0
625396;7.0;32.0
654744;5.0;6.0
654763;1.0;1.0
703179;12.0;63.0
713271;3.0;1.0
731219;2.0;1.0
735468;32.0;61.0
755558;17.0;28.0
785297;8.0;8.0
875309;4.0;1.0
885600;28.0;37.0
1012385;71.0;50.0
1015935;56.0;3.0
1032892;22.0;18.0
1103566;49.0;46.0
1109821;1.0;2.0
1113551;5.0;6.0
1118858;14.0;23.0
1141457;48.0;25.0
1178149;13.0;20.0
1187929;25.0;25.0
1191143;3.0;1.0
1214617;24.0;28.0
1273760;58.0;81.0
1316477;2.0;1.0
1343411;7.0;19.0
1343519;14.0;17.0
1365609;21.0;24.0
1378220;18.0;18.0
1507975;55.0;40.0
1525113;2.0;1.0
1604919;44.0;37.0
1610084;28.0;15.0
1623556;41.0;38.0
1717967;50.0;36.0
1768817;3.0;3.0
1830733;39.0;29.0
1850984;1.0;2.0
1995592;31.0;47.0
2011559;10.0;5.0
2033597;31.0;11.0
2041582;58.0;62.0
2042431;3.0;3.0
2056676;7.0;2.0
2092610;5.0;4.0
2163742;19.0;12.0
2183209;13.0;33.0
2216062;6.0;5.0
2365994;11.0;5.0
2468591;1.0;1.0
2532975;1.0;7.0
2592307;124.0;98.0
2653578;88.0;60.0
2675179;14.0;12.0
2709965;21.0;29.0
2730555;31.0;22.0
2764812;23.0;32.0
2812038;33.0;40.0
2847310;67.0;51.0
2944104;8.0;5.0
2958786;65.0;77.0
2985232;2.0;3.0
3130486;14.0;41.0
3138351;8.0;9.0
3168686;7.0;6.0
3177610;3.0;2.0
3215295;2.0;1.0
3241017;19.0;15.0
3331054;11.0;18.0
3448674;32.0;26.0
3458717;6.0;11.0
3479638;2.0;2.0
3534949;13.0;17.0
3577737;22.0;30.0
3629071;89.0;89.0
3638973;2.0;2.0
3678989;27.0;44.0
3679016;25.0;23.0
3803319;8.0;12.0
3812348;126.0;136.0
3857478;40.0;27.0
3859085;57.0;55.0
3971726;9.0;5.0
4054111;32.0;42.0
4075378;2.0;4.0
4104870;20.0;10.0
4137579;7.0;11.0
4145030;6.0;5.0
4225233;6.0;2.0
4244379;70.0;54.0
4312171;4.0;4.0
4348412;58.0;84.0
4351464;39.0;65.0
4377155;19.0;17.0
4395511;41.0;38.0
4418911;5.0;3.0
4447077;3.0;26.0
4493377;10.0;6.0
4568364;32.0;33.0
4624838;21.0;42.0
4679955;14.0;2.0
4747128;28.0;25.0
4787924;14.0;18.0
4849995;3.0;4.0
4856515;3.0;3.0
4888430;66.0;67.0
4942126;20.0;26.0
4995055;2.0;3.0
5005722;14.0;8.0
5154272;2.0;1.0
5278749;21.0;17.0
5347437;88.0;85.0
5391067;13.0;8.0
5423637;16.0;3.0
5439203;22.0;7.0
5459210;6.0;1.0
5471844;143.0;111.0
5480529;16.0;14.0
5571829;1.0;6.0
5602997;37.0;36.0
5631903;28.0;41.0
5642121;78.0;64.0
